query,COG_category,PFAMs
1458300_4606_97,M,Peptidase_M66_TagA_fn3
1458300_4606_98,S,Crystall
1458300_4606_99,,
1458300_4606_100,O,Redoxin
1458300_4606_101,NT,4HB_MCP_1_MCPsignal
1458300_4606_102,K,Trans_reg_C
1458300_4606_104,NU,N_methyl_TcpA
1458300_4606_105,,
1458300_4606_106,M,TcpQ
1458300_4606_107,M,
1458300_4606_109,,
1458300_4606_110,S,TcpS
1458300_4606_111,NU,T2SSE
1458300_4606_112,U,T2SSF
1458300_4606_114,K,HTH_18_HTH_AraC
1458300_4606_115,NOU,DiS_P_DiS_Peptidase_A24
1458300_4606_116,NT,HAMP_MCPsignal_dCache_1
1458300_4606_117,S,SBP_bac_11
1458300_4606_118,S,SBP_bac_11
1458300_4606_119,S,RDD
1458300_4606_121,M,Peptidase_M23
1458300_4606_122,M,OMP_bbrl
1458300_4606_123,M,DUF4092_M60like_N_Peptidase_M60
1458300_4606_124,L,ArmDNAbind_3_Phage_int_SAM_3_Phage_integrase
1458300_4606_125,J,SmpB
1458300_4606_126,I,Polyketide_cyc
1458300_4606_127,S,UbRnfH
1458300_4606_128,M,SmpA_OmlA
1458300_4606_129,L,AAA_23_SMC_N
1458300_4606_130,F,NAD_kinase
1458300_4606_131,O,GrpE
1458300_4606_132,O,HSP70
1458300_4606_133,O,DnaJ_DnaJ_C_DnaJ_CXXCXGXG
1458300_4606_134,NU,ComP_DUS_N_methyl
1458300_4606_135,NU,GspH_N_methyl
1458300_4606_136,U,N_methyl
1458300_4606_137,U,
1458300_4606_138,NU,N_methyl
1458300_4606_139,H,ABG_transport
1458300_4606_140,FJ,MafB19deam
1458300_4606_141,,
1458300_4606_142,M,SBP_bac_3_SLT
1458300_4606_143,F,AIRS_C_GATase_5
1458300_4834_1,H,DHFR_1
1458300_4834_2,L,Phage_int_SAM_4_Phage_integrase
1458300_4834_3,CO,TraF
1458300_4834_4,S,TraH
1458300_4834_5,G,TraG_N
1458300_4834_6,,
1458300_4834_7,N,FlhC
1458300_4834_8,K,FlhD
1458300_4834_9,M,SLT
1458300_4834_10,,
1458300_4834_11,,
1458300_4834_12,S,YdaS_antitoxin
1458300_4834_13,KT,HTH_3_Peptidase_S24
1458300_4834_14,J,GTP_EFTU_GTP_EFTU_D2_RF3_C
1458300_4834_15,F,DEAD_Helicase_C
1458300_4834_16,J,MTS_UPF0020
1458300_4834_17,U,Branch_AA_trans
1458300_4834_18,J,PCRF_RF1
1458300_4834_19,J,tRNAsynt_2_tRNA_anticodon
1458300_4834_20,K,HTH_8_Sigma54_activat
1458300_4834_21,,
1458300_4834_22,C,Aldo_ket_red
1458300_4834_23,L,MutH
1458300_4834_24,L,NUDIX
1458300_4834_25,T,GAF_GAF_2_PEPutilisers_N_PEPutilizers_PEPutilizers_C
1458300_4834_26,S,TauE
1458300_4834_27,M,LGT
1458300_4834_28,F,Thymidylat_synt
1458300_4834_29,P,Na_Pi_cotrans
1458300_4834_30,K,HTH_1_LysR_substrate
1458300_4834_31,K,HTH_5
1458300_4834_32,J,Ribosomal_S20p
1458300_4834_33,U,MVIN
1458300_4834_34,H,FAD_syn_Flavokinase
1458300_4834_35,J,Anticodon_1_FAD_syn_Flavokinase_tRNAsynt_1_zfFPG_IleRS
1458300_4834_36,MU,Peptidase_A8
1458300_4834_37,G,FKBP_C
1458300_4834_38,IM,LYTB
1458300_4834_39,T,CstA_CstA_5TM
1458300_4834_40,S,DUF2799
1458300_4834_41,P,Na_H_Exchanger_TrkA_N
1458300_4834_42,S,SIS_SIS_2
1458300_4834_43,F,AnmK
1458300_4834_44,G,Glyco_hydro_3
1458300_4834_45,K,LytTR_Response_reg
1458300_4834_46,T,5TM5TMR_LYT_GAF_2_GAF_3_His_kinase_SpoVT_C
1458300_4834_47,E,DAHP_synth_1
1458300_4834_48,E,CM_2_PDH
1458300_4834_49,S,PilZ
1458300_4834_50,S,ABC_tran_ABC_tran_Xtn
1458300_4834_51,M,SLT_SLT_L
1458300_4834_52,K,Trp_repressor
1458300_4834_53,F,NTPase_IT
1458300_4834_54,T,EAL_GGDEF
1458300_4834_55,E,SBP_bac_8
1458300_4834_56,E,CM_2_PDT
1458300_4834_57,J,Ribosomal_S30AE
1458300_4834_58,M,YfiO
1458300_4834_59,J,PseudoU_synth_2_S4
1458300_4834_60,S,Cuoxidase_4
1458300_4834_61,O,AAA_AAA_2_ClpB_D2small_Clp_N
1458300_5059_1,,
1458300_5059_2,IQ,adh_short_C2
1458300_5059_3,S,Hexapep
1458300_5059_4,,
1458300_5272_2,L,
1458300_5272_3,S,Phage_TAC_7
1458300_5272_5,,
1458300_5272_6,,Mor
1458300_5272_7,S,Mor
1458300_5272_8,,
1458300_5272_9,,
1458300_5272_10,U,AAA_22
1458300_5272_11,L,rve
1458300_5272_12,,
1458300_5272_15,,
1458300_5272_16,K,
1458300_5272_17,S,DUF2787
1458300_5272_18,S,MMR_HSR1
1458300_5272_19,S,Inovirus_Gp2
1458300_5272_20,,
1458300_5272_21,K,Phage_AlpA
1458300_5272_22,S,DUF2986
1458300_5272_23,S,NYN
1458300_5272_24,S,DUF393
1458300_5272_25,L,DNA_photolyase_FAD_binding_7
1458300_5272_26,IQ,adh_short
1458300_5272_27,S,VF530
1458300_5272_28,K,GAF_HTH_8_Sigma54_activat
1458300_5272_29,C,Aldedh
1458300_5272_30,G,PTS_EIIA_2
1458300_5272_31,G,PTS_EIIA_2_PTS_EIIC_PTS_IIB
1458300_5272_32,G,PTS_EIIA_2_PTS_EIIC_PTS_IIB
1458300_5272_33,G,PTS_IIB
1458300_5272_34,G,PTSHPr_PTS_EIIA_2
1458300_5272_35,K,HTH_18
1458300_5272_36,G,PTS_EIIA_2_PTS_EIIC_PTS_IIB
1458300_5272_37,G,PMI_typeI
1458300_5272_38,U,AlaE
1458300_5272_39,T,HATPase_c_HisKA_Hpt_LuxQperiplasm_PAS_9_Response_reg_dCache_1
1458300_5272_40,S,UPF0149
1458300_5272_41,H,NadA
1458300_5272_42,D,TPR_16_TPR_6_TPR_8_TolA_bind_tri
1458300_5272_43,M,OmpA
1458300_5272_44,U,PD40_TolB_N
1458300_5272_45,M,TolA
1458300_5272_46,U,ExbD
1458300_5272_47,U,MotA_ExbB
1458300_5272_48,S,4HBT_4HBT_2
1458300_5272_49,S,YbgT_YccB
1458300_5272_50,C,Cyt_bd_oxida_II
1458300_5272_51,C,Cyt_bd_oxida_I
1458300_5272_53,L,RuvB_C_RuvB_N
1458300_5272_54,L,HHH_5_RuvA_C_RuvA_N
1458300_5272_55,L,RuvC
1458300_5272_56,J,DALR_2_tRNAsynt_1e_tRNAsynt_1g
1458300_5272_57,G,Pro_isomerase
1458300_5272_58,S,Metallophos_Metallophos_2
1458300_5272_59,T,EAL_HDOD
1458300_5272_60,S,SECC
1458300_5272_61,S,DUF2057
1458300_5272_62,M,Porin_4
1458300_5272_63,KL,DEAD_2_Helicase_C_2_ResIII
1458300_5272_64,S,TauE
1458300_5272_65,L,PriC
1458300_5272_66,S,DUF2496
1458300_5272_67,NT,HAMP_MCPsignal_dCache_1
1458300_5272_68,L,Exo_endo_phos
1458300_5272_69,P,BPD_transp_1
1458300_5272_70,P,BPD_transp_1
1458300_5272_71,ET,SBP_bac_3
1458300_5272_72,E,ABC_tran
1458300_5272_74,S,DUF3360
1458300_5272_75,C,Gly_radical_PFLlike
1458300_5272_76,S,DUF2219
1458300_5272_77,T,HAMP_MCPsignal
1458300_5272_78,C,Fer4_12_Radical_SAM
1458300_5272_79,S,CbiM
1458300_5272_80,S,YfbU
1458300_5272_81,T,AAA_PrkA_PrkA
1458300_5272_82,S,DUF444
1458300_5272_83,S,SpoVR
1458300_5272_84,M,CTP_transf_3
1458300_5272_85,S,Trm112p
1458300_5272_86,F,LpxK
1458300_5272_87,V,ABC_membrane_ABC_tran
1458300_5272_88,S,Competence_DUF4131_Lactamase_B
1458300_5272_89,S,DUF2062
1458300_5272_90,M,FtsX_MacB_PCD
1458300_5272_91,V,ABC_tran
1458300_5272_92,M,FtsX_MacB_PCD
1458300_5272_93,,PilZ
1458300_5272_94,L,CarD_CdnL_TRCF_DEAD_Helicase_C_TRCF
1458300_5272_95,S,CsiV
1458300_5272_96,S,Betaprism_lec
1458300_5272_97,J,Acetyltransf_3
1458300_5272_98,C,Pyr_redox_2
1458300_5272_99,S,UPF0227
1458300_5272_100,M,APH_Choline_kinase
1458300_5272_101,M,LpoB
1458300_5272_102,S,DUF1425
1458300_5272_103,S,
1458300_5272_104,FG,HIT
1458300_5272_105,NT,4HB_MCP_1_MCPsignal
1458300_5272_106,S,DUF1887
1458300_5272_107,K,FadR_C_GntR
1458300_5272_108,P,NhaB
1458300_5272_109,C,DsbB
1458300_5272_110,D,FtsK_4TM_FtsK_SpoIIIE_Ftsk_gamma
1458300_5272_111,K,AsnC_trans_reg_HTH_24
1458300_5272_112,C,AlaDh_PNT_C_AlaDh_PNT_N
1458300_5272_113,S,Methyltransf_32
1458300_5272_114,K,HTH_1_LysR_substrate
1458300_5272_115,,
1458300_5272_116,FJ,MiaE
1458300_5272_117,F,OMPdecase
1458300_5272_118,G,TPR_16_TPR_19_TPR_7_TPR_8
1458300_5272_119,S,LapA_dom
1458300_5272_120,K,Bac_DNA_binding
1458300_5272_121,J,S1
1458300_5272_122,F,Cytidylate_kin
1458300_5272_123,L,HHH_3
1458300_5272_124,O,Rotamase_2_Rotamase_3_SurA_N_3
1458300_5272_125,L,Bac_DNA_binding
1458300_5272_126,O,AAA_LON_substr_bdg_Lon_C
1458300_5272_127,O,AAA_2_ClpB_D2small_zfC4_ClpX
1458300_5272_128,O,CLP_protease
1458300_5272_129,D,FKBP_C_Trigger_C_Trigger_N
1458300_5272_130,T,HATPase_c_HisKA_dCache_1
1458300_5272_131,T,HTH_8_Response_reg_Sigma54_activat
1458300_5272_132,G,DctM
1458300_5272_133,G,DctQ
1458300_5272_134,G,DctP
1458300_5272_135,S,UPF0061
1458300_5272_136,,
1458300_5272_137,S,
1458300_5272_138,T,EAL_GGDEF
1458300_5272_139,I,CDPOH_P_transf
1458300_5272_140,S,CTP_transf_1
1458300_5272_141,I,Acetyltransf_3_Acyltransferase
1458300_5272_142,S,4HBT_2
1458300_5272_143,E,LysE
1458300_5272_144,E,HAD
1458300_5272_145,S,DUF2141_OpgC_C
1458300_5272_146,F,THF_DHG_CYH_THF_DHG_CYH_C
1458300_5272_147,Q,TauD
1458300_5272_148,C,FAD_binding_3
1458300_5272_150,K,HTH_1_LysR_substrate
1458300_5272_151,Q,DIT1_PvcA_TauD
1458300_5272_152,C,Molybdop_Fe4S4_Molybdopterin_Molydop_binding_TAT_signal
1458300_5272_153,C,Cytochrom_NNT
1458300_5272_154,G,CBM_5_12_Glyco_hydro_18
1458300_5272_155,F,Gate_Nucleos_tra2_C_Nucleos_tra2_N
1458300_5272_156,K,HTH_1_LysR_substrate
1458300_5272_157,M,SLT_2
1458300_5272_158,S,YcgL
1458300_5272_159,D,MinC_C_MinC_N
1458300_5272_160,D,AAA_31_CbiA
1458300_5272_161,D,MinE
1458300_5272_162,MP,NlpE
1458300_5272_163,S,DUF1244
1458300_5272_164,S,DUF1517_Tim44
1458300_5272_166,K,WHG
1458300_5272_167,I,Acyltransferase_MFS_1
1458300_5272_168,T,HAMP_MCPsignal
1458300_5272_169,K,Cupin_2_HTH_3
1458300_5272_170,Q,BenE
1458300_5272_171,IQ,AMPbinding_AMPbinding_C
1458300_5272_172,H,MR_MLE_C
1458300_5272_173,H,ECH_1
1458300_5272_174,H,Abhydrolase_1_Abhydrolase_6
1458300_5272_175,H,TPP_enzyme_C_TPP_enzyme_M_2_TPP_enzyme_N
1458300_5272_176,H,Chorismate_bind
1458300_5272_177,E,Aminotran_1_2
1458300_5272_178,S,HD_3
1458300_5272_179,F,HD_HD_assoc
1458300_5272_180,S,DTW
1458300_5272_181,S,Rhomboid
1458300_5272_182,E,Peptidase_M3
1458300_5272_183,J,DNA_pol_A_exo1_HRDC
1458300_5272_184,IQ,AMPbinding_AMPbinding_C
1458300_5272_185,S,Abhydrolase_1_Abhydrolase_6
1458300_5272_186,M,Slp
1458300_5272_187,,
1458300_5272_188,O,Peptidase_M22
1458300_5272_189,KL,DEAD_DEAD_2_Helicase_C_2_ResIII
1458300_5272_190,,
1458300_5272_191,F,ACT_Formyl_trans_N
1458300_5272_192,C,Oxidored_FMN_Pyr_redox_2
1458300_5272_193,OU,Peptidase_S49
1458300_5272_194,EJ,Asparaginase
1458300_5272_195,S,DUF1315
1458300_5272_196,S,DUF2989
1458300_5272_197,C,SelR
1458300_5272_198,C,Gp_dh_C_Gp_dh_N
1458300_5272_199,G,Aldose_epim
1458300_5272_200,S,DUF2860
1458300_5272_201,H,Methyltransf_11_Methyltransf_25_Methyltransf_31
1458300_5272_202,S,Cofac_haem_bdg
1458300_5272_203,,
1458300_5272_204,T,CheW_Response_reg
1458300_5272_205,GK,ROK
1458300_5272_206,G,PK_PK_C
1458300_5272_207,S,Patatin
1458300_5272_209,M,OMP_bbrl_OmpA_membrane
1458300_5272_210,U,SNF
1458300_5272_211,,
1458300_5272_212,G,PTS_EIIB_PTS_EIIC
1458300_5272_213,L,TatD_DNase
1458300_5272_214,L,DNA_pol3_delta2_DNApol3delta_C
1458300_5272_215,F,Thymidylate_kin
1458300_5272_216,S,YceG
1458300_5272_217,EH,Aminotran_4
1458300_5272_218,I,Ketoacylsynt_C_ketoacylsynt
1458300_5272_219,IQ,PPbinding
1458300_5272_220,IQ,adh_short_C2
1458300_5272_221,I,Acyl_transf_1
1458300_5272_222,I,ACP_syn_III_ACP_syn_III_C
1458300_5272_223,I,FA_synthesis
1458300_5272_224,J,Ribosomal_L32p
1458300_5272_225,S,DUF177
1458300_5272_226,D,Maf
1458300_5272_227,J,PseudoU_synth_2_S4
1458300_5272_228,J,RNase_E_G_S1
1458300_5272_229,P,STAS_Sulfate_transp
1458300_5272_230,EG,EamA
1458300_5272_231,C,Aldedh_FeADH
1458300_5272_232,U,MarC
1458300_5272_233,E,Semialdhyde_dh_Semialdhyde_dhC
1458300_5272_234,C,Na_H_antiporter
1458300_5272_235,T,Hpt
1458300_5272_236,S,NA37
1458300_5272_237,S,DUF1414
1458300_5272_238,S,DUF3413_Sulfatase
1458300_5272_239,BQ,Hist_deacetyl
1458300_5272_240,L,Topoisom_bac_Toprim
1458300_5272_241,C,Glutaredoxin
1458300_5272_242,C,Sod_Fe_C_Sod_Fe_N
1458300_5272_243,S,Ribosomal_S4Pg
1458300_5272_244,IQ,adh_short_adh_short_C2
1458300_5272_245,M,MlaA
1458300_5272_246,O,TPR_19
1458300_5272_247,P,CcmH
1458300_5272_248,CO,Redoxin
1458300_5272_249,O,CcmF_C_Cytochrom_C_asm
1458300_5272_250,O,CcmE
1458300_5272_251,U,CcmD
1458300_5272_252,U,Cytochrom_C_asm
1458300_5272_253,U,CcmB
1458300_5272_254,P,ABC_tran
1458300_5272_255,S,DUF2802
1458300_5272_256,NT,CheW
1458300_5272_257,NT,CheW
1458300_5272_258,D,AAA_31
1458300_5272_259,NT,CheB_methylest_Response_reg
1458300_5272_260,NT,CheW_Hkinase_dim_HATPase_c_Hpt
1458300_5272_261,NT,CheZ
1458300_5272_262,KT,Response_reg
1458300_5272_263,K,Sigma70_r2_Sigma70_r3_Sigma70_r4
1458300_5272_264,D,ParA
1458300_5272_265,N,SRP54
1458300_5272_266,N,FHIPEP
1458300_5272_267,T,His_Phos_1
1458300_5272_268,O,Peptidase_M16_Peptidase_M16_C_Peptidase_M16_M
1458300_5272_269,S,YecM
1458300_5272_270,J,Arg_tRNA_synt_N_DALR_1_tRNAsynt_1d
1458300_5272_271,FG,HIT
1458300_5272_272,S,FeoC
1458300_5272_273,P,FeoB_C_FeoB_N_Gate
1458300_5272_274,P,FeoA
1458300_5272_275,KT,HTH_18_Reg_prop
1458300_5272_276,P,ZnuA
1458300_5272_277,P,ABC_tran
1458300_5272_278,P,ABC3
1458300_5272_279,C,CoA_binding_Ligase_CoA
1458300_5272_280,F,ATPgrasp_2_Ligase_CoA
1458300_5272_281,C,2oxoacid_dh_Biotin_lipoyl_E3_binding
1458300_5272_282,C,2oxogl_dehyd_N_E1_dh_OxoGdeHyase_C_Transket_pyr
1458300_5272_283,C,Fer2_3_Fer4_17
1458300_5272_284,C,FAD_binding_2_Succ_DH_flav_C
1458300_5272_285,C,Sdh_cyt
1458300_5272_286,C,Sdh_cyt
1458300_5272_287,C,Citrate_synt
1458300_5272_288,S,NIF3
1458300_5272_289,S,DUF1853
1458300_5272_290,G,PGM_PMM_I_PGM_PMM_II_PGM_PMM_III_PGM_PMM_IV
1458300_5272_291,L,SeqA_SeqA_N
1458300_5272_292,I,Abhydrolase_1_Abhydrolase_6
1458300_5272_293,S,DUF2788
1458300_5272_294,C,Flavodoxin_1
1458300_5272_295,M,LrgB
1458300_5272_296,S,DUF1422_LrgA
1458300_5272_297,K,HTH_1_LysR_substrate
1458300_5272_298,Q,DUF4442
1458300_5272_299,K,FUR
1458300_5272_300,E,Semialdhyde_dh_Semialdhyde_dhC
1458300_5272_301,H,2Hacid_dh_2Hacid_dh_C_DUF3410
1458300_5272_302,IQ,Ketoacylsynt_C_ketoacylsynt
1458300_5272_303,J,DAO_Methyltransf_30
1458300_5272_304,S,FMN_red
1458300_5272_305,S,YfcL
1458300_5272_306,S,EpmC
1458300_5272_307,S,UPF0126
1458300_5272_308,E,Chorismate_synt
1458300_5272_309,J,MTS
1458300_5272_310,S,Smr
1458300_5272_311,N,Bac_export_2
1458300_5272_312,N,Bac_export_1
1458300_5272_313,N,Bac_export_3
1458300_5272_314,N,FliP
1458300_5272_315,N,FliO
1458300_5272_316,N,FliMN_C
1458300_5272_317,N,FliM_FliMN_C
1458300_5272_318,N,FliL
1458300_5272_319,N,Flg_hook
1458300_5272_320,N,FliJ
1458300_5272_321,NU,ATPsynt_ab
1458300_5272_322,N,FliH_Yae1_N
1458300_5272_323,N,FliG_C_FliG_M_FliG_N
1458300_5272_324,N,YscJ_FliF_YscJ_FliF_C
1458300_5272_325,N,FliE
1458300_5272_326,T,HTH_8_Response_reg_Sigma54_activat
1458300_5272_327,T,HATPase_c_HisKA_PAS_8
1458300_5272_328,T,FleQ_HTH_8_Sigma54_activat
1458300_5272_329,N,FliS
1458300_5272_330,,
1458300_5272_331,N,Flagellin_IN_FliD_C_FliD_N
1458300_5272_332,N,FlaG
1458300_5272_333,N,Flagellin_C_Flagellin_IN_Flagellin_N
1458300_5272_334,N,Flagellin_C_Flagellin_IN_Flagellin_N
1458300_5272_335,N,Flagellin_C_Flagellin_IN_Flagellin_N
1458300_5272_336,P,Dyp_perox
1458300_5272_337,S,DUF2919
1458300_5272_338,S,DUF2956
1458300_5272_339,S,HTH_43
1458300_5272_340,P,ArsC
1458300_5272_341,E,M20_dimer_Peptidase_M20
1458300_5272_342,M,VanY
1458300_5272_343,S,DUF2897
1458300_5272_344,M,Lipoprotein_18
1458300_5272_345,E,DHDPS
1458300_5272_346,E,ACT_6
1458300_5272_347,O,AhpCTSA
1458300_5272_348,NT,HAMP_MCPsignal_dCache_1
1458300_5272_349,S,AI2E_transport
1458300_5272_350,O,DrsE_RHH_4_TusA
1458300_5272_351,S,Peptidase_M48_TPR_16_TPR_19_TPR_8
1458300_5272_352,C,ArsC
1458300_5272_353,S,FMN_red
1458300_5272_354,S,DUF2069
1458300_5272_355,S,DUF2066
1458300_5272_356,F,Xan_ur_permease
1458300_5272_357,S,tRNA_edit
1458300_5272_358,F,5_nucleotid_C_Metallophos
1458300_5272_359,M,DAHP_synth_1
1458300_5272_360,S,TPR_9_Transglut_core2
1458300_5272_361,S,SirB
1458300_5272_362,J,MTS_Methyltransf_31
1458300_5272_363,J,PCRF_RF1
1458300_5272_364,H,GlutR_N_GlutR_dimer_Shikimate_DH
1458300_5272_365,M,LolB
1458300_5272_366,F,GHMP_kinases_C_GHMP_kinases_N
1458300_5272_367,F,Pribosyl_synth_Pribosyltran_N
1458300_5272_368,J,Pept_tRNA_hydro
1458300_5272_369,J,MMR_HSR1_YchFGTPase_C
1458300_5272_370,,
1458300_5272_371,N,Flagellin_C_Flagellin_IN_Flagellin_N
1458300_5272_372,N,Flagellin_C_Flagellin_IN_Flagellin_N
1458300_5272_373,N,Flagellin_C_Flagellin_N
1458300_5272_374,N,Flg_bb_rod_Flg_bbr_C
1458300_5272_375,N,Glucosaminidase_Rodbinding
1458300_5272_376,N,FlgI
1458300_5272_377,N,FlgH
1458300_5272_378,N,Flg_bb_rod_Flg_bbr_C
1458300_5272_379,N,Flg_bb_rod_Flg_bbr_C
1458300_5272_380,N,FlaE_Flg_bb_rod_Flg_bbr_C
1458300_5272_381,N,FLgD_tudor_FlgD_FlgD_ig
1458300_5272_382,N,Flg_bb_rod_Flg_bbr_C
1458300_5272_383,N,Flg_bb_rod
1458300_5272_384,NT,CheR_CheR_N
1458300_5272_385,T,CheW_Response_reg
1458300_5272_386,N,ChapFlgA
1458300_5272_387,N,FlgM
1458300_5272_388,NOU,FlgN
1458300_5272_389,S,LPP20
1458300_5272_390,S,
1458300_5272_391,N,FlgT_C_FlgT_M_FlgT_N
1458300_5272_392,Q,AMPbinding_AMPbinding_C_Condensation_KAsynt_C_assoc_Ketoacylsynt_C_Methyltransf_25_PPbinding_ketoacylsynt
1458300_5272_393,P,FAD_binding_9_SIP
1458300_5272_394,P,Plug_TonB_dep_Rec
1458300_5272_395,,
1458300_5272_396,M,OmpA_OmpA_membrane
1458300_5272_397,J,tRNAsynt_1c
1458300_5272_398,P,E1E2_ATPase_HMA_Hydrolase
1458300_5272_399,S,DUF411
1458300_5272_400,G,CHB_HEX_CHB_HEX_C_Glyco_hydro_20_Glyco_hydro_20b
1458300_5272_401,S,TraB
1458300_5272_402,,
1458300_5272_403,S,DUF3149
1458300_5272_404,S,Smr
1458300_5272_405,J,PseudoU_synth_2_S4
1458300_5272_406,T,GGDEF_dCache_1
1458300_5272_408,F,UPRTase
1458300_5272_409,F,AIRS_AIRS_C
1458300_5272_410,F,Formyl_trans_N
1458300_5272_411,S,GATase_4
1458300_5272_412,G,SIS_2
1458300_5272_413,I,AcylCoA_dh_1_AcylCoA_dh_M_AcylCoA_dh_N_DUF1974
1458300_5272_414,S,
1458300_5272_415,L,RNase_T
1458300_5272_416,L,RNase_H
1458300_5272_417,Q,Methyltransf_11
1458300_5272_418,S,HAGH_C_Lactamase_B
1458300_5272_419,M,LysM_MLTD_N_SLT
1458300_5272_420,S,Exo_endo_phos
1458300_5272_421,K,PII
1458300_5272_422,Q,PA_decarbox
1458300_5272_423,C,Cytochrom_C_Cytochrome_CBB3
1458300_5272_424,J,ATP_bind_3_TilS_TilS_C
1458300_5272_425,I,ACCA
1458300_5272_426,L,DNA_pol3_alpha_HHH_6_PHP_tRNA_anticodon
1458300_5272_427,L,RNase_HII
1458300_5272_428,M,LpxB
1458300_5272_429,M,Acetyltransf_11_Hexapep
1458300_5272_430,I,FabA
1458300_5272_431,I,Hexapep_Hexapep_2_LpxD
1458300_5272_432,M,OmpH
1458300_5272_433,M,Bac_surface_Ag_POTRA
1458300_5272_434,M,PDZ_PDZ_2_Peptidase_M50
1458300_5272_435,I,DXPR_C_DXP_redisom_C_DXP_reductoisom
1458300_5272_436,M,CTP_transf_1
1458300_5272_437,H,Prenyltransf
1458300_5272_438,J,RRF
1458300_5272_439,F,AA_kinase
1458300_5272_440,J,EF_TS
1458300_5272_441,J,Ribosomal_S2
1458300_5272_442,E,Peptidase_M24
1458300_5272_443,O,ACT_GlnD_UR_UTase_HD_NTP_transf_2
1458300_5272_444,S,DUF3461
1458300_5272_445,I,PgpA
1458300_5272_446,F,AIRS_AIRS_C
1458300_5272_447,K,NusB
1458300_5272_448,H,DMRL_synthase
1458300_5272_449,H,DHBP_synthase_GTP_cyclohydro2
1458300_5272_450,H,Lum_binding
1458300_5272_451,H,RibD_C_dCMP_cyt_deam_1
1458300_5272_452,K,ATPcone
1458300_5272_453,E,Aldedh
1458300_5272_454,F,AA_kinase_PUA
1458300_5272_455,K,Crl
1458300_5272_456,S,DUF1100
1458300_5272_457,F,Pribosyltran
1458300_5272_458,S,Xan_ur_permease
1458300_5272_459,E,M20_dimer_Peptidase_M20
1458300_5272_460,O,Zn_protease
1458300_5272_461,F,RimK
1458300_5272_462,S,AstE_AspA
1458300_5272_463,S,SNF
1458300_5272_464,T,CHASE4_GGDEF
1458300_5272_465,L,Transposase_mut
1458300_5386_2,,
1458300_5386_3,E,Glyoxalase
1458300_5563_1,L,HTH_21_rve_rve_3
1458300_5563_2,L,Phage_integrase
1458300_5563_3,S,DUF2238
1458300_5563_4,O,DNAJ_related_DnaJ
1458300_5563_5,S,ABC_ATPase
1458300_5563_6,T,EAL_GAF_GAF_2_GGDEF
1458300_5563_7,I,EnoRase_FAD_bd_EnoRase_NADH_b_Enoyl_reductase
1458300_5563_8,E,Lipase_GDSL_2
1458300_5563_9,Q,ABC_tran
1458300_5563_10,Q,FtsX_MacB_PCD
1458300_5563_11,C,UDPG_MGDP_dh_UDPG_MGDP_dh_C_UDPG_MGDP_dh_N
1458300_5563_12,CH,DAO_GIDA
1458300_5563_13,E,CT_A_B
1458300_5563_14,E,CT_C_D
1458300_5563_15,S,LamB_YcsF
1458300_5563_16,M,GDP_Man_Dehyd
1458300_5563_17,NT,HAMP_MCPsignal
1458300_5563_18,U,Trp_Tyr_perm
1458300_5563_19,,
1458300_5563_20,S,ACP_PD
1458300_5563_21,JKL,DEAD_Helicase_C
1458300_5563_22,K,TetR_N
1458300_5563_23,C,Cytochrom_C
1458300_5563_24,E,Beta_elim_lyase
1458300_5563_25,L,NUDIX
1458300_5563_26,S,AAA_5_DUF3763
1458300_5563_27,S,VWA_CoxE
1458300_5563_28,E,ABC_tran
1458300_5563_29,ET,SBP_bac_3
1458300_5563_30,P,BPD_transp_1
1458300_5563_31,P,BPD_transp_1
1458300_5563_32,K,HTH_1_LysR_substrate
1458300_5563_33,E,Glyoxalase
1458300_5563_34,I,Lipase_3
1458300_5563_35,G,MFS_1_Sugar_tr
1458300_5563_36,O,Thioredoxin
1458300_5563_37,I,ACP_syn_III_ACP_syn_III_C
1458300_5563_38,C,CCG_Fer4_8
1458300_5563_39,C,FAD_binding_2
1458300_5563_40,C,DAO_Fer2_BFD
1458300_5563_41,U,MIP
1458300_5563_42,F,FGGY_C_FGGY_N
1458300_5563_43,S,ImpYgjV
1458300_5563_45,S,DUF496
1458300_5563_46,,
1458300_5563_47,S,DUF480
1458300_5563_48,S,TraF_2
1458300_5563_49,G,Peripla_BP_4
1458300_5563_50,T,HATPase_c_HisKA_Hpt_LuxQperiplasm_PAS_9_Response_reg_dCache_1
1458300_5563_51,M,PilZ_YcgR_2
1458300_5563_52,,
1458300_5563_53,S,BOF
1458300_5563_54,,
1458300_5563_55,S,SIR2_2
1458300_5563_56,,
1458300_5563_57,L,AAA_15
1458300_5563_58,H,AAA_26_CbiA_GATase_3
1458300_5563_59,P,SBP_bac_11
1458300_5563_60,P,BPD_transp_1
1458300_5563_61,P,ABC_tran_TOBE
1458300_5563_62,I,HMGCoA_red
1458300_5563_63,,
1458300_5563_64,,
1458300_5563_65,S,HNOB
1458300_5563_66,T,HATPase_c_HisKA
1458300_5563_67,S,FUSClike_FUSC_2
1458300_5563_68,L,Helicase_IV_N_UvrDhelicase_UvrD_C
1458300_5563_69,C,Ni_hydr_CYTB
1458300_5563_70,S,PepSY_2
1458300_5563_71,M,DAGK_prokar
1458300_5563_72,Q,Isochorismatase
1458300_5563_73,G,MGS
1458300_5563_74,G,Peripla_BP_1
1458300_5563_75,T,HAMP_HATPase_c_HisKA_Hpt_Response_reg
1458300_5563_76,G,PK_PK_C
